Type	Code ens.	ECTS	Description
TSH	EI06	4	La Chine : histoire, culture et société
TSH	IC01	4	Histoire et prospective des industries culturelles
TSH	SC21	4	Linguistique et philosophie du langage
TSH	SC23	4	Interaction sociale et usages du numérique
TSH	SI01	4	Science et débat public
TSH	SI07	4	Médias classiques et médias numériques
TSH	SI22	4	Signes et contenus numériques
TSH	SI24	4	Études des écritures numériques ordinaires
TSH	AS01	4	Les collectifs de l'ingénieur contemporain
TSH	BC01	4	Rédaction bibliographique de fin d'études
TSH	EI05	4	Science, technologie et société dans l'union européenne
TSH	GE10	4	Économie politique
TSH	GE12	4	Géographie et économie des territoires
TSH	GE20	4	Économie industrielle
TSH	GE21	4	Économie et gestion de l'innovation et du numérique
TSH	GE22	4	Économie internationale
TSH	GE23	4	Transferts de technologies et développements
TSH	GE24	4	Recherche et développement : ingénieur et investisseurs
TSH	GE28	4	Économie et droit de la propriété intellectuelle (industrielle et artistique) dans une économie reposant sur la connaissance
TSH	GE90	4	Organisation, innovation et international
TSH	PH09	4	Éthiques : approche pluridisciplinaire
TSH	SO04	4	Initiation au droit
TSH	SO05	4	Sociologie, organisations et dynamiques des collectifs
TSH	SO06	4	Organisation des systèmes de santé
TSH	AS01	4	Les collectifs de l'ingénieur contemporain
TSH	AS02	4	Accompagnement pour l'analyse des situations de l'ingénieur
TSH	ICX7	4	Émergence des acteurs innovants dans l'entreprise
