
Code	enseig.	Activité	Jour	Heure	début	Heure	fin	Semaine	Locaux	Type	créneau	Lib.	créneau						
BL20	TP	Vendredi	08:00:00 AM	12:00:00 PM	PG	J	202	Groupe	actif	T	4								
BL20	TP	Vendredi	08:00:00 AM	12:00:00 PM	PG	J	202	Groupe	de	réserve	T	5							
BM03	Cours	Mardi	10:15:00 AM	12:15:00 PM	BF	A	200	Groupe	actif	C									
BM03	TD	Mercredi	02:15:00 PM	04:15:00 PM	BF	B	104	Groupe	actif	D									
BM03	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	A	BF	A	601	Groupe	actif	T							
BM03	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	B	BF	A	601	Groupe	actif	T							
BM04	Cours	Mardi	08:00:00 AM	10:00:00 AM	BF	A	108	Groupe	actif	C									
BM04	TD	Jeudi	08:00:00 AM	10:00:00 AM	BF	B	215	Groupe	actif	D									
BM04	TP	Lundi	02:15:00 PM	06:15:00 PM	semaine	A	BF	A	601	Groupe	actif	T							
BM04	TP	Lundi	02:15:00 PM	06:15:00 PM	semaine	B	BF	A	601	Groupe	actif	T							
BM05	Cours	Jeudi	10:15:00 AM	01:15:00 PM	BF	A	202	Groupe	actif	C									
BM05	TP	Jeudi	02:15:00 PM	06:15:00 PM	semaine	B	BF	A	601	Groupe	actif	T							
BM05	TP	Jeudi	02:15:00 PM	06:15:00 PM	semaine	A	BF	A	601	Groupe	actif	T							
BM06	Cours	Mercredi	10:15:00 AM	12:15:00 PM	BF	A	202	Groupe	actif	C									
BM06	TD	Lundi	10:15:00 AM	11:45:00 AM	BF	A	509	Groupe	actif	D									
BM06	TP	Mercredi	04:30:00 PM	06:30:00 PM	semaine	B	BF	A	509	Groupe	actif	T							
BM06	TP	Mercredi	04:30:00 PM	06:30:00 PM	semaine	A	BF	A	509	Groupe	actif	T							
BM07	Cours	Lundi	10:15:00 AM	12:15:00 PM	BF	A	202	Groupe	actif	C									
BM07	TD	Mercredi	02:15:00 PM	04:15:00 PM	BF	A	400	Groupe	actif	D									
BM07	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	200	Groupe	actif	T	1						
BM07	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	200	Groupe	actif	T	1						
BM07	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	A	PG	J	200	Groupe	actif	T	2						
BM07	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	B	PG	J	200	Groupe	actif	T	2						
BM07	TP	Vendredi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	200	Groupe	actif	T	3						
BM07	TP	Vendredi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	200	Groupe	actif	T	3						
BT03	Cours	Lundi	08:00:00 AM	10:00:00 AM	BF	A	202	Groupe	actif	C									
BT03	TD	Mercredi	08:00:00 AM	10:00:00 AM	BF	A	417	Groupe	actif	D									
BT03	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	200	Groupe	actif	T	1						
BT03	TP	Jeudi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	200	Groupe	actif	T	1						
BT03	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	A	PG	J	200	Groupe	actif	T	2						
BT03	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	B	PG	J	200	Groupe	actif	T	2						
BT03	TP	Vendredi	02:30:00 PM	06:30:00 PM	semaine	A	PG	J	200	Groupe	actif	T	3						
BT03	TP	Vendredi	02:30:00 PM	06:30:00 PM	semaine	B	PG	J	200	Groupe	actif	T	3						
BT07	Cours	Mercredi	08:00:00 AM	10:00:00 AM	BF	A	200	Groupe	actif	C									



BT07	TD	Jeudi	10:15:00 AM	01:15:00 PM	BF	A	420	Groupe	actif	D									
BT09	Cours	Mercredi	10:15:00 AM	12:15:00 PM	BF	A	200	Groupe	actif	C									
BT09	TD	Mercredi	02:15:00 PM	04:15:00 PM	BF	A	418	Groupe	actif	D	1								
BT09	TD	Jeudi	10:15:00 AM	12:15:00 PM	BF	A	410	Groupe	actif	D	2								
BT09	TP	Jeudi	02:15:00 PM	06:15:00 PM	semaine	A	BF	A	406	Groupe	actif	T	1						
BT09	TP	Jeudi	02:15:00 PM	06:15:00 PM	semaine	B	BF	A	406	Groupe	actif	T	1						
BT09	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	B	BF	A	406	Groupe	actif	T	2						
BT09	TP	Vendredi	08:00:00 AM	12:00:00 PM	semaine	A	BF	A	406	Groupe	actif	T	2						
CF04	Cours	Jeudi	10:15:00 AM	12:15:00 PM	PG	O	230	Groupe	actif	C									
CF04	TD	Vendredi	01:15:00 PM	04:15:00 PM	PG	O	113	Groupe	actif	D									
CM04	Cours	Jeudi	06:45:00 PM	08:45:00 PM	BF	A	205	Groupe	actif	C									
CM04	Cours	Lundi	10:15:00 AM	12:15:00 PM	BF	A	104	Groupe	actif	C									
CM04	TD	Mercredi	08:00:00 AM	10:00:00 AM	BF	B	215,	BF	A	418	Groupe	actif	D	1					
CM04	TD	Vendredi	08:00:00 AM	10:00:00 AM	BF	B	215,	BF	A	404	Groupe	actif	D	2					
CM04	TD	Vendredi	02:15:00 PM	04:15:00 PM	BF	B	215,	BF	A	309	Groupe	actif	D	3					
CM04	TD	Vendredi	04:30:00 PM	06:30:00 PM	BF	A	509,	BF	A	309	Groupe	actif	D	4					
CM05	Cours	Lundi	08:00:00 AM	10:00:00 AM	BF	A	104	Groupe	actif	C									
CM05	TD	Mercredi	02:15:00 PM	04:15:00 PM	BF	A	505,	BF	A	516	Groupe	actif	D	1					
CM05	TD	Jeudi	08:00:00 AM	10:00:00 AM	BF	A	505,	BF	A	309	Groupe	actif	D	2					
CM05	TD	Vendredi	04:30:00 PM	06:30:00 PM	BF	A	505,	BF	A	403	Groupe	actif	D	3					
CM06	TD	Mercredi	04:30:00 PM	06:30:00 PM	BF	B	216	Groupe	actif	D									
